0 x || xx xx || x x x || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx xxxxxx xxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxx || xxxxxx || Xxxxxxxx || x xx
1 x || 00 00 || 1 0 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx xxxxxx xxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxx || xxxxxx || Xxxxxxxx || x xx
0 x || 00 01 || 1 0 0 || 011000000101100111111111010 xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || c0b3fe c0b401 c0b3fd || 110000001011001111111110110 110000001011010000000001000 110000001011001111111101000 || 6059ff6 || 40b3fe || f8c0b3fe || 1 xx
1 x || 00 01 || 0 1 0 || 011000000101100111111111010 xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || c0b3fe c0b401 c0b3fd || 110000001011001111111110110 110000001011010000000001000 110000001011001111111101000 || 6059ff6 || 40b3fe || f8c0b3fe || 1 xx
0 x || 00 10 || 0 1 0 || 011000000101100111111111010 100001010100100111101011110 011110101011011000010100001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || c0b3fe c0b401 c0b3fd || 110000001011001111111110110 110000001011010000000001000 110000001011001111111101000 || 6059ff6 || 40b3fe || f8c0b3fe || 1 xx
1 x || 01 10 || 1 0 0 || 011000000101100111111111010 100001010100100111101011110 011110101011011000010100001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || c0b3fe c0b401 c0b3fd || 110000001011001111111110110 110000001011010000000001000 110000001011001111111101000 || 6059ff6 || 40b3fe || f8c0b3fe || 1 xx
0 x || 01 11 || 1 0 0 || 010111000101111011010110011 100001010100100111101011110 011110101011011000010100001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b8bdad b8bdaf b8bdab || 101110001011110110101101000 101110001011110110101111010 101110001011110110101011010 || 5c5ed68 || 38bdad || f8b8bdad || 1 xx
1 x || 01 11 || 0 1 0 || 010111000101111011010110011 100001010100100111101011110 011110101011011000010100001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b8bdad b8bdaf b8bdab || 101110001011110110101101000 101110001011110110101111010 101110001011110110101011010 || 5c5ed68 || 38bdad || f8b8bdad || 1 xx
0 x || 01 10 || 0 1 0 || 010111000101111011010110011 011111111100100000001110110 100000000011011111110001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b8bdad b8bdaf b8bdab || 101110001011110110101101000 101110001011110110101111010 101110001011110110101011010 || 5c5ed68 || 38bdad || f8b8bdad || 1 xx
1 x || 01 10 || 1 0 0 || 010111000101111011010110011 011111111100100000001110110 100000000011011111110001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b8bdad b8bdaf b8bdab || 101110001011110110101101000 101110001011110110101111010 101110001011110110101011010 || 5c5ed68 || 38bdad || f8b8bdad || 1 xx
0 x || 01 11 || 1 0 0 || 010111001000011100110101001 011111111100100000001110110 100000000011011111110001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e6a b90e6c b90e68 || 101110010000111001101010100 101110010000111001101100110 101110010000111001101000110 || 5c87354 || 390e6a || f8b90e6a || 0 xx
1 x || 01 11 || 0 1 0 || 010111001000011100110101001 011111111100100000001110110 100000000011011111110001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e6a b90e6c b90e68 || 101110010000111001101010100 101110010000111001101100110 101110010000111001101000110 || 5c87354 || 390e6a || f8b90e6a || 0 xx
0 x || 01 10 || 0 1 0 || 010111001000011100110101001 011111111111111111100111011 100000000000000000011000100 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e6a b90e6c b90e68 || 101110010000111001101010100 101110010000111001101100110 101110010000111001101000110 || 5c87354 || 390e6a || f8b90e6a || 0 xx
1 x || 01 10 || 1 0 0 || 010111001000011100110101001 011111111111111111100111011 100000000000000000011000100 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e6a b90e6c b90e68 || 101110010000111001101010100 101110010000111001101100110 101110010000111001101000110 || 5c87354 || 390e6a || f8b90e6a || 0 xx
0 x || 01 11 || 1 0 0 || 010111001000011101000110110 011111111111111111100111011 100000000000000000011000100 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 01 11 || 0 1 0 || 010111001000011101000110110 011111111111111111100111011 100000000000000000011000100 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 01 10 || 0 1 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 01 10 || 1 0 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 01 11 || 1 0 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 01 11 || 0 1 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 01 10 || 0 1 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 01 10 || 1 0 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 01 11 || 1 0 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 01 11 || 0 1 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 01 10 || 0 1 0 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
1 x || 10 10 || 0 0 1 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxxx || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 xx
0 x || 10 10 || 0 0 1 || 010111001000011101000110110 011111111111111111111111110 100000000000000000000000001 || 1111111111111111111111111110 || b90e8d b90e90 b90e8c || 101110010000111010001101110 101110010000111010010000000 101110010000111010001100000 || 5c8746e || 390e8d || f8b90e8d || 1 01
