0101010011100101 54e5 21733 || 0 0 1 || xxxxxxxxxxxxxxxx xxxx     x || xxxxxxxxxxxxxxxx xxxx     x || 3244 xxxx
0101010011100101 54e5 21733 || 0 0 1 || xxxxxxxxxxxxxxxx xxxx     x || xxxxxxxxxxxxxxxx xxxx     x || 3244 xxxx
0101010011100101 54e5 21733 || 0 0 1 || xxxxxxxxxxxxxxxx xxxx     x || xxxxxxxxxxxxxxxx xxxx     x || 3244 xxxx
0101010011100101 54e5 21733 || 0 1 1 || xxxxxxxxxxxxxxxx xxxx     x || xxxxxxxxxxxxxxxx xxxx     x || 3244 xxxx
0101010011100101 54e5 21733 || 0 1 1 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 3244 22a1
0101010011100101 54e5 21733 || 0 1 1 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 3244 22a1
0101010011100101 54e5 21733 || 0 1 1 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 3244 22a1
0101010011100101 54e5 21733 || 0 0 1 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 3244 22a1
0101010011100101 54e5 21733 || 1 0 0 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 1dac 22a1
0101010011100101 54e5 21733 || 1 0 0 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 1dac 22a1
0101010011100101 54e5 21733 || 1 0 0 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 1dac 22a1
0101010011100101 54e5 21733 || 1 1 0 || 0100000000000001 4001 16385 || 1111111111111111 ffff 65535 || 1dac 22a1
0101010011100101 54e5 21733 || 1 1 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 1dac 04f5
0101010011100101 54e5 21733 || 1 1 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 1dac 04f5
0101010011100101 54e5 21733 || 1 1 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 1dac 04f5
0101010011100101 54e5 21733 || 1 0 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 1dac 04f5
0101010011100101 54e5 21733 || 2 0 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 0fae 04f5
0101010011100101 54e5 21733 || 2 0 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 0fae 04f5
0101010011100101 54e5 21733 || 2 0 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 0fae 04f5
0101010011100101 54e5 21733 || 2 1 0 || 0100000000000001 4001 16385 || 0010000000000000 2000  8192 || 0fae 04f5
0101010011100101 54e5 21733 || 2 1 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 0fae f547
0101010011100101 54e5 21733 || 2 1 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 0fae f547
0101010011100101 54e5 21733 || 2 1 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 0fae f547
0101010011100101 54e5 21733 || 2 0 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 0fae f547
0101010011100101 54e5 21733 || 3 0 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 07f5 f547
0101010011100101 54e5 21733 || 3 0 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 07f5 f547
0101010011100101 54e5 21733 || 3 0 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 07f5 f547
0101010011100101 54e5 21733 || 3 1 0 || 0100100000000010 4802 18434 || 0000111111111111 0fff  4095 || 07f5 f547
0101010011100101 54e5 21733 || 3 1 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 07f5 fd3c
0101010011100101 54e5 21733 || 3 1 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 07f5 fd3c
0101010011100101 54e5 21733 || 3 1 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 07f5 fd3c
0101010011100101 54e5 21733 || 3 0 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 07f5 fd3c
0101010011100101 54e5 21733 || 4 0 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 03ff fd3c
0101010011100101 54e5 21733 || 4 0 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 03ff fd3c
0101010011100101 54e5 21733 || 4 0 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 03ff fd3c
0101010011100101 54e5 21733 || 4 1 0 || 0100101000000010 4a02 18946 || 0000011011111110 06fe  1790 || 03ff fd3c
0101010011100101 54e5 21733 || 4 1 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 03ff 013b
0101010011100101 54e5 21733 || 4 1 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 03ff 013b
0101010011100101 54e5 21733 || 4 1 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 03ff 013b
0101010011100101 54e5 21733 || 4 0 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 03ff 013b
0101010011100101 54e5 21733 || 5 0 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 0200 013b
0101010011100101 54e5 21733 || 5 0 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 0200 013b
0101010011100101 54e5 21733 || 5 0 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 0200 013b
0101010011100101 54e5 21733 || 5 1 0 || 0100101001110010 4a72 19058 || 0000001001011101 025d   605 || 0200 013b
0101010011100101 54e5 21733 || 5 1 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0200 ff3b
0101010011100101 54e5 21733 || 5 1 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0200 ff3b
0101010011100101 54e5 21733 || 5 1 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0200 ff3b
0101010011100101 54e5 21733 || 5 0 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0200 ff3b
0101010011100101 54e5 21733 || 6 0 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0100 ff3b
0101010011100101 54e5 21733 || 6 0 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0100 ff3b
0101010011100101 54e5 21733 || 6 0 0 || 0100101010000101 4a85 19077 || 0000000000001001 0009     9 || 0100 ff3b
