00000000_0000000000000000_00000_0 | 00000000_1
3c072c85_3dba05dc00000000_10000_0 | 3dba05dc_1
3e7f7f7f_3effbfb700000000_10000_0 | 3effbfb7_1
4f951295_478a229200000000_10000_0 | 478a2292_1
41e00002_40a953fe00000000_10000_0 | 40a953fe_1
4fffdff7_47b4f99f00000000_10000_0 | 47b4f99f_1
015e834a_206eab7a00000000_10000_0 | 206eab7a_1
417febff_407ff5ff00000000_10000_0 | 407ff5ff_1
41ffffeb_40b504eb00000000_10000_0 | 40b504eb_1
137f7ffb_297fbff500000000_10000_0 | 297fbff5_1
2bffffcf_35b504e100000000_10000_0 | 35b504e1_1
760077ff_5ab559b800000000_10000_0 | 5ab559b8_1
340000ef_39b5059c00000000_10000_0 | 39b5059c_1
0100087f_20350af500000000_10000_0 | 20350af5_1
3d900000_3e87c3b600000000_10000_0 | 3e87c3b6_1
3e7ff400_3efff9ff00000000_10000_0 | 3efff9ff_1
5e7f8003_4effbff900000000_10000_0 | 4effbff9_1
3ffff7fe_3fb5021e00000000_10000_0 | 3fb5021e_1
4e00ffee_46b5b99100000000_10000_0 | 46b5b991_1
3efffffd_3f3504f200000000_10000_0 | 3f3504f2_1
69ffff7f_54b504c500000000_10000_0 | 54b504c5_1
40dd6229_4028561100000000_10000_0 | 40285611_1
4bf7bfff_45b2142100000000_10000_0 | 45b21421_1
33bfff7e_399cc43b00000000_10000_0 | 399cc43b_1
46fe00fe_43344fed00000000_10000_0 | 43344fed_1
39409b1b_3c5e0d5200000000_10000_0 | 3c5e0d52_1
5faff4f6_4f96132d00000000_10000_0 | 4f96132d_1
410000fd_403505a600000000_10000_0 | 403505a6_1
4eec20df_472dda0d00000000_10000_0 | 472dda0d_1
25ffefbf_32b4ff3300000000_10000_0 | 32b4ff33_1
421ffc00_40ca603a00000000_10000_0 | 40ca603a_1
017fe07e_207ff03e00000000_10000_0 | 207ff03e_1
25877fff_3283b25500000000_10000_0 | 3283b255_1
41fdfffb_40b44f9100000000_10000_0 | 40b44f91_1
72b139fa_59169d8800000000_10000_0 | 59169d88_1
40fdbfff_403438da00000000_10000_0 | 403438da_1
3c7f0003_3dff7fe100000000_10000_0 | 3dff7fe1_1
4eaea2e8_471582be00000000_10000_0 | 471582be_1
41de507f_40a8b09600000000_10000_0 | 40a8b096_1
4178001f_407bf7ef00000000_10000_0 | 407bf7ef_1
5d000fff_4e35104200000000_10000_0 | 4e351042_1
3f00007f_3f35054d00000000_10000_0 | 3f35054d_1
107ffffe_27fffffe00000000_10000_0 | 27fffffe_1
2c4716ea_35e1c22f00000000_10000_0 | 35e1c22f_1
4064d70e_3ff20a1300000000_10000_0 | 3ff20a13_1
4fd8bec6_47a6903f00000000_10000_0 | 47a6903f_1
2cd956db_3626caa400000000_10000_0 | 3626caa4_1
4f7fc000_477fdffd00000000_10000_0 | 477fdffd_1
33812edf_3980971600000000_10000_0 | 39809716_1
3f007ff7_3f355f5800000000_10000_0 | 3f355f58_1
4effdfe0_4734f99700000000_10000_0 | 4734f997_1
1a8ffffe_2d07c3b500000000_10000_0 | 2d07c3b5_1
4e4d6940_46e5509200000000_10000_0 | 46e55092_1
3ffbfffb_3fb3997a00000000_10000_0 | 3fb3997a_1
3e800000_3f00000000000000_00000_0 | 3f000000_1
4bd86177_45a66c6000000000_10000_0 | 45a66c60_1
41dff7ff_40a950f600000000_10000_0 | 40a950f6_1
3f080040_3f3a975400000000_10000_0 | 3f3a9754_1
3f7fffbf_3f7fffdf00000000_10000_0 | 3f7fffdf_1
2200ffbe_30b5b96f00000000_10000_0 | 30b5b96f_1
3f5fffdf_3f6f773e00000000_10000_0 | 3f6f773e_1
408005ff_400002ff00000000_10000_0 | 400002ff_1
413ff7fe_405daf3700000000_10000_0 | 405daf37_1
48bffffc_441cc46e00000000_10000_0 | 441cc46e_1
