00000000_0000000000000000_00000_0 | 00000000_1
3c072c85_3dba05dd00000000_10000_0 | 3dba05dd_1
3e7f7f7f_3effbfb800000000_10000_0 | 3effbfb8_1
4f951295_478a229300000000_10000_0 | 478a2293_1
41e00002_40a953ff00000000_10000_0 | 40a953ff_1
4fffdff7_47b4f9a000000000_10000_0 | 47b4f9a0_1
015e834a_206eab7b00000000_10000_0 | 206eab7b_1
417febff_407ff60000000000_10000_0 | 407ff600_1
41ffffeb_40b504ec00000000_10000_0 | 40b504ec_1
137f7ffb_297fbff600000000_10000_0 | 297fbff6_1
2bffffcf_35b504e200000000_10000_0 | 35b504e2_1
760077ff_5ab559b900000000_10000_0 | 5ab559b9_1
340000ef_39b5059d00000000_10000_0 | 39b5059d_1
0100087f_20350af600000000_10000_0 | 20350af6_1
3d900000_3e87c3b700000000_10000_0 | 3e87c3b7_1
3e7ff400_3efffa0000000000_10000_0 | 3efffa00_1
5e7f8003_4effbffa00000000_10000_0 | 4effbffa_1
3ffff7fe_3fb5021f00000000_10000_0 | 3fb5021f_1
4e00ffee_46b5b99200000000_10000_0 | 46b5b992_1
3efffffd_3f3504f300000000_10000_0 | 3f3504f3_1
69ffff7f_54b504c600000000_10000_0 | 54b504c6_1
40dd6229_4028561200000000_10000_0 | 40285612_1
4bf7bfff_45b2142200000000_10000_0 | 45b21422_1
33bfff7e_399cc43c00000000_10000_0 | 399cc43c_1
46fe00fe_43344fee00000000_10000_0 | 43344fee_1
39409b1b_3c5e0d5300000000_10000_0 | 3c5e0d53_1
5faff4f6_4f96132e00000000_10000_0 | 4f96132e_1
410000fd_403505a700000000_10000_0 | 403505a7_1
4eec20df_472dda0e00000000_10000_0 | 472dda0e_1
25ffefbf_32b4ff3400000000_10000_0 | 32b4ff34_1
421ffc00_40ca603b00000000_10000_0 | 40ca603b_1
017fe07e_207ff03f00000000_10000_0 | 207ff03f_1
25877fff_3283b25600000000_10000_0 | 3283b256_1
41fdfffb_40b44f9200000000_10000_0 | 40b44f92_1
72b139fa_59169d8900000000_10000_0 | 59169d89_1
40fdbfff_403438db00000000_10000_0 | 403438db_1
3c7f0003_3dff7fe200000000_10000_0 | 3dff7fe2_1
4eaea2e8_471582bf00000000_10000_0 | 471582bf_1
41de507f_40a8b09700000000_10000_0 | 40a8b097_1
4178001f_407bf7f000000000_10000_0 | 407bf7f0_1
5d000fff_4e35104300000000_10000_0 | 4e351043_1
3f00007f_3f35054e00000000_10000_0 | 3f35054e_1
107ffffe_27ffffff00000000_10000_0 | 27ffffff_1
2c4716ea_35e1c23000000000_10000_0 | 35e1c230_1
4064d70e_3ff20a1400000000_10000_0 | 3ff20a14_1
4fd8bec6_47a6904000000000_10000_0 | 47a69040_1
2cd956db_3626caa500000000_10000_0 | 3626caa5_1
4f7fc000_477fdffe00000000_10000_0 | 477fdffe_1
33812edf_3980971700000000_10000_0 | 39809717_1
3f007ff7_3f355f5900000000_10000_0 | 3f355f59_1
4effdfe0_4734f99800000000_10000_0 | 4734f998_1
1a8ffffe_2d07c3b600000000_10000_0 | 2d07c3b6_1
4e4d6940_46e5509300000000_10000_0 | 46e55093_1
3ffbfffb_3fb3997b00000000_10000_0 | 3fb3997b_1
3e800000_3f00000000000000_00000_0 | 3f000000_1
4bd86177_45a66c6100000000_10000_0 | 45a66c61_1
41dff7ff_40a950f700000000_10000_0 | 40a950f7_1
3f080040_3f3a975500000000_10000_0 | 3f3a9755_1
3f7fffbf_3f7fffe000000000_10000_0 | 3f7fffe0_1
2200ffbe_30b5b97000000000_10000_0 | 30b5b970_1
3f5fffdf_3f6f773f00000000_10000_0 | 3f6f773f_1
408005ff_4000030000000000_10000_0 | 40000300_1
413ff7fe_405daf3800000000_10000_0 | 405daf38_1
48bffffc_441cc46f00000000_10000_0 | 441cc46f_1
3e7bf7fe_3efdf9f300000000_10000_0 | 3efdf9f3_1
25000001_323504f400000000_10000_0 | 323504f4_1
5fffeeff_4fb4fef100000000_10000_0 | 4fb4fef1_1
32c62227_391f406a00000000_10000_0 | 391f406a_1
4f7fe01f_477ff01000000000_10000_0 | 477ff010_1
5dfff80f_4eb5022500000000_10000_0 | 4eb50225_1
339ffefe_398f1b4a00000000_10000_0 | 398f1b4a_1
4180807e_4080402f00000000_10000_0 | 4080402f_1
2f00bfff_37358c8400000000_10000_0 | 37358c84_1
5e14d901_4ec3347d00000000_10000_0 | 4ec3347d_1
4ffffdfe_47b5043e00000000_10000_0 | 47b5043e_1
3affdeff_3d34f94800000000_10000_0 | 3d34f948_1
40005fff_3fb548c800000000_10000_0 | 3fb548c8_1
41fff3fe_40b500b500000000_10000_0 | 40b500b5_1
397f5ffe_3c7faff300000000_10000_0 | 3c7faff3_1
01000000_203504f400000000_10000_0 | 203504f4_1
0103bfff_2037a6df00000000_10000_0 | 2037a6df_1
01000001_203504f400000000_10000_0 | 203504f4_1
01000002_203504f500000000_10000_0 | 203504f5_1
01000004_203504f700000000_10000_0 | 203504f7_1
40e7ffff_402c534500000000_10000_0 | 402c5345_1
01000008_203504f900000000_10000_0 | 203504f9_1
01000010_203504ff00000000_10000_0 | 203504ff_1
4bbbfffe_459b203100000000_10000_0 | 459b2031_1
01000020_2035050a00000000_10000_0 | 2035050a_1
33801ffc_39800ffe00000000_10000_0 | 39800ffe_1
01000040_2035052100000000_10000_0 | 20350521_1
01000080_2035054e00000000_10000_0 | 2035054e_1
01000100_203505a900000000_10000_0 | 203505a9_1
01000200_2035065e00000000_10000_0 | 2035065e_1
2608001f_32ba973e00000000_10000_0 | 32ba973e_1
01000400_203507c800000000_10000_0 | 203507c8_1
4e8047fe_470023fa00000000_10000_0 | 470023fa_1
01000800_20350a9c00000000_10000_0 | 20350a9c_1
01001000_2035104400000000_10000_0 | 20351044_1
44ffaffe_4234e8a800000000_10000_0 | 4234e8a8_1
01002000_20351b9300000000_10000_0 | 20351b93_1
01004000_2035322f00000000_10000_0 | 2035322f_1
01008000_20355f6000000000_10000_0 | 20355f60_1
4041c35d_3fdeb7d800000000_10000_0 | 3fdeb7d8_1
01010000_2035b99e00000000_10000_0 | 2035b99e_1
01020000_20366d9600000000_10000_0 | 20366d96_1
3e18eecc_3ec5dd9900000000_10000_0 | 3ec5dd99_1
01040000_2037d37600000000_10000_0 | 2037d376_1
01080000_203a972900000000_10000_0 | 203a9729_1
33800ffc_398007fe00000000_10000_0 | 398007fe_1
01100000_2040000000000000_00000_0 | 20400000_1
01200000_204a62c200000000_10000_0 | 204a62c2_1
01400000_205db3d800000000_10000_0 | 205db3d8_1
01600000_206f775100000000_10000_0 | 206f7751_1
01700000_2077def600000000_10000_0 | 2077def6_1
01780000_207bf7e000000000_10000_0 | 207bf7e0_1
017c0000_207dfdfc00000000_10000_0 | 207dfdfc_1
017e0000_207eff8000000000_10000_0 | 207eff80_1
017f0000_207f7fe000000000_10000_0 | 207f7fe0_1
017f8000_207fbff800000000_10000_0 | 207fbff8_1
017fc000_207fdffe00000000_10000_0 | 207fdffe_1
017fe000_207ff00000000000_10000_0 | 207ff000_1
017ff000_207ff80000000000_10000_0 | 207ff800_1
41867f7c_4083357300000000_10000_0 | 40833573_1
017ff800_207ffc0000000000_10000_0 | 207ffc00_1
5700002f_4b35051500000000_10000_0 | 4b350515_1
017ffc00_207ffe0000000000_10000_0 | 207ffe00_1
017ffe00_207fff0000000000_10000_0 | 207fff00_1
017fff00_207fff8000000000_10000_0 | 207fff80_1
3eeffefe_3f2f451100000000_10000_0 | 3f2f4511_1
017fff80_207fffc000000000_10000_0 | 207fffc0_1
017fffc0_207fffe000000000_10000_0 | 207fffe0_1
67ffffba_53b504db00000000_10000_0 | 53b504db_1
017fffe0_207ffff000000000_10000_0 | 207ffff0_1
4b820000_4580ff0200000000_10000_0 | 4580ff02_1
017ffff0_207ffff800000000_10000_0 | 207ffff8_1
017ffff8_207ffffc00000000_10000_0 | 207ffffc_1
3381bfff_3980df3d00000000_10000_0 | 3980df3d_1
017ffffc_207ffffe00000000_10000_0 | 207ffffe_1
017ffffe_207fffff00000000_10000_0 | 207fffff_1
017fffff_2080000000000000_10000_0 | 20800000_1
3f00000a_3f3504fb00000000_10000_0 | 3f3504fb_1
017ffffd_207fffff00000000_10000_0 | 207fffff_1
33801fe0_39800ff000000000_10000_0 | 39800ff0_1
017ffffb_207ffffe00000000_10000_0 | 207ffffe_1
3c808400_3e0041f000000000_10000_0 | 3e0041f0_1
017ffff7_207ffffc00000000_10000_0 | 207ffffc_1
33ffd800_39b4f6cf00000000_10000_0 | 39b4f6cf_1
017fffef_207ffff800000000_10000_0 | 207ffff8_1
017fffdf_207ffff000000000_10000_0 | 207ffff0_1
017fffbf_207fffe000000000_10000_0 | 207fffe0_1
3f71f5ef_3f78e1a200000000_10000_0 | 3f78e1a2_1
017fff7f_207fffc000000000_10000_0 | 207fffc0_1
017ffeff_207fff8000000000_10000_0 | 207fff80_1
017ffdff_207fff0000000000_10000_0 | 207fff00_1
3aec60e1_3d2df19c00000000_10000_0 | 3d2df19c_1
017ffbff_207ffe0000000000_10000_0 | 207ffe00_1
017ff7ff_207ffc0000000000_10000_0 | 207ffc00_1
4b008040_45355f8d00000000_10000_0 | 45355f8d_1
017fefff_207ff80000000000_10000_0 | 207ff800_1
403fffdf_3fddb3c500000000_10000_0 | 3fddb3c5_1
017fdfff_207fefff00000000_10000_0 | 207fefff_1
7effffb0_5f3504d700000000_10000_0 | 5f3504d7_1
017fbfff_207fdffe00000000_10000_0 | 207fdffe_1
017f7fff_207fbff800000000_10000_0 | 207fbff8_1
017effff_207f7fe000000000_10000_0 | 207f7fe0_1
017dffff_207eff7f00000000_10000_0 | 207eff7f_1
017bffff_207dfdfc00000000_10000_0 | 207dfdfc_1
0177ffff_207bf7df00000000_10000_0 | 207bf7df_1
016fffff_2077def600000000_10000_0 | 2077def6_1
015fffff_206f775100000000_10000_0 | 206f7751_1
013fffff_205db3d700000000_10000_0 | 205db3d7_1
011fffff_204a62c200000000_10000_0 | 204a62c2_1
4f40fffe_475e477300000000_10000_0 | 475e4773_1
010fffff_2040000000000000_10000_0 | 20400000_1
0107ffff_203a972800000000_10000_0 | 203a9728_1
0103ffff_2037d37500000000_10000_0 | 2037d375_1
4eab026c_4713f33600000000_10000_0 | 4713f336_1
0101ffff_20366d9600000000_10000_0 | 20366d96_1
0100ffff_2035b99e00000000_10000_0 | 2035b99e_1
3df77fff_3eb1fd2000000000_10000_0 | 3eb1fd20_1
01007fff_20355f5f00000000_10000_0 | 20355f5f_1
01003fff_2035322f00000000_10000_0 | 2035322f_1
01001fff_20351b9200000000_10000_0 | 20351b92_1
01000fff_2035104300000000_10000_0 | 20351043_1
0167ffff_2073b46a00000000_10000_0 | 2073b46a_1
010007ff_20350a9b00000000_10000_0 | 20350a9b_1
010003ff_203507c700000000_10000_0 | 203507c7_1
010001ff_2035065d00000000_10000_0 | 2035065d_1
010000ff_203505a800000000_10000_0 | 203505a8_1
5e8000e0_4f00007000000000_10000_0 | 4f000070_1
0100007f_2035054e00000000_10000_0 | 2035054e_1
0100003f_2035052000000000_10000_0 | 20350520_1
0100001f_2035050a00000000_10000_0 | 2035050a_1
0100000f_203504fe00000000_10000_0 | 203504fe_1
7e80fff0_5f007fb900000000_10000_0 | 5f007fb9_1
01000007_203504f900000000_10000_0 | 203504f9_1
01000003_203504f600000000_10000_0 | 203504f6_1
33800000_3980000000000000_00000_0 | 39800000_1
33800001_3980000100000000_10000_0 | 39800001_1
5afffc00_4d35038a00000000_10000_0 | 4d35038a_1
33800002_3980000100000000_10000_0 | 39800001_1
3f8fff00_3f87c33e00000000_10000_0 | 3f87c33e_1
33800004_3980000200000000_10000_0 | 39800002_1
33800008_3980000400000000_10000_0 | 39800004_1
3f002fff_3f3526e100000000_10000_0 | 3f3526e1_1
33800010_3980000800000000_10000_0 | 39800008_1
33800020_3980001000000000_10000_0 | 39800010_1
33800040_3980002000000000_10000_0 | 39800020_1
33800080_3980004000000000_10000_0 | 39800040_1
2a9455ac_3509caf100000000_10000_0 | 3509caf1_1
33800100_3980008000000000_10000_0 | 39800080_1
7e803dff_5f001efc00000000_10000_0 | 5f001efc_1
33800200_3980010000000000_10000_0 | 39800100_1
3e00fff6_3eb5b99700000000_10000_0 | 3eb5b997_1
33800400_3980020000000000_10000_0 | 39800200_1
1daa0123_2e9383c000000000_10000_0 | 2e9383c0_1
33800800_3980040000000000_10000_0 | 39800400_1
33801000_3980080000000000_10000_0 | 39800800_1
33802000_3980100000000000_10000_0 | 39801000_1
33804000_39801ffd00000000_10000_0 | 39801ffd_1
33808000_39803ff100000000_10000_0 | 39803ff1_1
7900f800_5c35b3fc00000000_10000_0 | 5c35b3fc_1
33810000_39807fc100000000_10000_0 | 39807fc1_1
33820000_3980ff0200000000_10000_0 | 3980ff02_1
407bffbf_3ffdfddc00000000_10000_0 | 3ffdfddc_1
33840000_3981fc1000000000_10000_0 | 3981fc10_1
5f100001_4f40000100000000_10000_0 | 4f400001_1
33880000_3983f07c00000000_10000_0 | 3983f07c_1
33900000_3987c3b700000000_10000_0 | 3987c3b7_1
33a00000_398f1bbd00000000_10000_0 | 398f1bbd_1
33c00000_399cc47100000000_10000_0 | 399cc471_1
33e00000_39a953fe00000000_10000_0 | 39a953fe_1
437bfffe_417dfdfb00000000_10000_0 | 417dfdfb_1
33f00000_39af456f00000000_10000_0 | 39af456f_1
33f80000_39b22b2100000000_10000_0 | 39b22b21_1
4d8e33ce_4686ea1800000000_10000_0 | 4686ea18_1
33fc0000_39b3997d00000000_10000_0 | 39b3997d_1
33fe0000_39b44f9400000000_10000_0 | 39b44f94_1
33ff0000_39b4aa5b00000000_10000_0 | 39b4aa5b_1
409fff80_400f1b8400000000_10000_0 | 400f1b84_1
