0 x || xx xx || x x x || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
1 x || 00 00 || 1 0 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
0 x || 00 01 || 1 0 0 || 101000000000101100110011000 xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000000101100110011100 101000000000101100110101100 101000000000101100110001100 || 101000000000101100110011100 || 200b33 || c0200b33
1 x || 00 01 || 0 1 0 || 101000000000101100110011000 xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000000101100110011100 101000000000101100110101100 101000000000101100110001100 || 101000000000101100110011100 || 200b33 || c0200b33
0 x || 00 10 || 0 1 0 || 101000000000101100110011000 101111111111011100000000000 010000000000100011111111111 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000000101100110011100 101000000000101100110101100 101000000000101100110001100 || 101000000000101100110011100 || 200b33 || c0200b33
1 x || 01 10 || 1 0 0 || 101000000000101100110011000 101111111111011100000000000 010000000000100011111111111 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000000101100110011100 101000000000101100110101100 101000000000101100110001100 || 101000000000101100110011100 || 200b33 || c0200b33
0 x || 01 11 || 1 0 0 || 010100000001000011011010001 101111111111011100000000000 010000000000100011111111111 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000010000110110101010 101000000010000110111001010 101000000010000110110001010 || 101000000010000110110101010 || 2021b5 || bfa021b5
1 x || 01 11 || 0 1 0 || 010100000001000011011010001 101111111111011100000000000 010000000000100011111111111 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000010000110110101010 101000000010000110111001010 101000000010000110110001010 || 101000000010000110110101010 || 2021b5 || bfa021b5
0 x || 01 10 || 0 1 0 || 010100000001000011011010001 011000000000100011111111001 100111111111011100000000110 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000010000110110101010 101000000010000110111001010 101000000010000110110001010 || 101000000010000110110101010 || 2021b5 || bfa021b5
1 x || 01 10 || 1 0 0 || 010100000001000011011010001 011000000000100011111111001 100111111111011100000000110 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 101000000010000110110101010 101000000010000110111001010 101000000010000110110001010 || 101000000010000110110101010 || 2021b5 || bfa021b5
0 x || 01 11 || 1 0 0 || 011001000000111101101111111 011000000000100011111111001 100111111111011100000000110 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110010000001111011100000110 110010000001111011100100110 110010000001111011011100110 || 110010000001111011100000110 || 481ee0 || bfc81ee0
1 x || 01 11 || 0 1 0 || 011001000000111101101111111 011000000000100011111111001 100111111111011100000000110 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110010000001111011100000110 110010000001111011100100110 110010000001111011011100110 || 110010000001111011100000110 || 481ee0 || bfc81ee0
0 x || 01 10 || 0 1 0 || 011001000000111101101111111 011110000000010001111110110 100001111111101110000001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110010000001111011100000110 110010000001111011100100110 110010000001111011011100110 || 110010000001111011100000110 || 481ee0 || bfc81ee0
1 x || 01 10 || 1 0 0 || 011001000000111101101111111 011110000000010001111110110 100001111111101110000001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110010000001111011100000110 110010000001111011100100110 110010000001111011011100110 || 110010000001111011100000110 || 481ee0 || bfc81ee0
0 x || 01 11 || 1 0 0 || 011010100100110011100011001 011110000000010001111110110 100001111111101110000001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101001001100111000111010 110101001001100111001011010 110101001001100111000011010 || 110101001001100111000111010 || 5499c7 || bfd499c7
1 x || 01 11 || 0 1 0 || 011010100100110011100011001 011110000000010001111110110 100001111111101110000001001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101001001100111000111010 110101001001100111001011010 110101001001100111000011010 || 110101001001100111000111010 || 5499c7 || bfd499c7
0 x || 01 10 || 0 1 0 || 011010100100110011100011001 011111111000000010001111100 100000000111111101110000011 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101001001100111000111010 110101001001100111001011010 110101001001100111000011010 || 110101001001100111000111010 || 5499c7 || bfd499c7
1 x || 01 10 || 1 0 0 || 011010100100110011100011001 011111111000000010001111100 100000000111111101110000011 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101001001100111000111010 110101001001100111001011010 110101001001100111000011010 || 110101001001100111000111010 || 5499c7 || bfd499c7
0 x || 01 11 || 1 0 0 || 011010101011011010111000101 011111111000000010001111100 100000000111111101110000011 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110110101110010010 110101010110110101110110010 110101010110110101101110010 || 110101010110110101110010010 || 556d72 || bfd56d72
1 x || 01 11 || 0 1 0 || 011010101011011010111000101 011111111000000010001111100 100000000111111101110000011 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110110101110010010 110101010110110101110110010 110101010110110101101110010 || 110101010110110101110010010 || 556d72 || bfd56d72
